"TCGA-A3-3320-01A-02R-1325-07"	"TCGA-A3-3323-01A-02R-1325-07"	"TCGA-A3-3326-01A-01R-0864-07"	"TCGA-A3-A6NJ-01A-12R-A33J-07"	"TCGA-A3-A8OU-01A-11R-A37O-07"	"TCGA-AS-3778-01A-01R-A32Z-07"	"TCGA-B0-5690-01A-11R-1541-07"	"TCGA-B4-5834-01A-11R-1672-07"	"TCGA-B4-5844-01A-11R-1672-07"	"TCGA-B8-A54K-01A-11R-A33J-07"	"TCGA-BP-4165-01A-02R-1289-07"	"TCGA-CW-6093-01A-11R-1672-07"	"TCGA-EU-5904-01A-11R-1672-07"	"TCGA-T7-A92I-01A-11R-A37O-07"
"ABCC5|10057"	861.0104	1414.9398	944.1903	579.8319	830.963	720.9467	528.819	307.2154	308.0546	1075.8034	663.4736	458.5209	440.1725	1027.2211
"ABCC6P1|653190"	64.0538	126.747	155.5352	75.6303	54.4494	145.5316	83.4341	44.6408	19.2298	0	83.122	15.1125	59.2885	13.461
"ABCC6P2|730013"	59.8071	90.6024	115.279	90.036	144.6566	154.0092	97.1383	43.7108	57.3125	0.8958	151.7227	39.2283	71.5056	53.8439
"ABCC6|368"	756.9672	704.0964	1454.7118	725.4902	597.3182	1323.5606	484.8851	421.6074	351.793	4.0309	787.1552	330.8682	953.2878	190.8465
"ABCC8|6833"	3.185	0.4819	1.8298	0.4002	0.4063	1.0597	1.6123	0	0.3771	0	3.0044	0	0.3593	2.3931
"ABCC9|10060"	666.7256	893.012	632.2049	367.3469	535.5547	449.3112	1219.6695	805.0841	913.9832	440.2642	725.064	665.9164	826.4463	22.7341
"ABCD1|215"	356.7195	478.5542	592.8637	639.4558	874.0349	742.1406	618.2991	334.1858	428.3354	185.8694	501.2356	227.6527	685.2318	1018.5462
"ABCD2|225"	25.8338	41.9277	31.107	49.6198	11.7838	9.8905	25.393	18.9103	12.0658	7.1661	16.5242	18.328	19.7628	4.7861
"ABCD3|5825"	1823.5867	888.6747	1014.6386	1441.3766	1358.3909	1109.1487	1022.9746	1244.0518	1666.9636	1137.6106	1256.3437	1636.9775	1424.7215	757.1044
"ABCD4|5826"	732.5489	1046.747	1238.7923	993.1973	1134.0918	1093.6065	1171.3019	885.0655	1245.7923	962.4902	1426.0928	799.3569	933.1656	2801.6751
"ABCE1|6059"	1259.1347	1062.1687	1042.086	1418.1673	934.9858	864.3589	1085.0464	1221.4214	1345.335	831.2619	1055.549	2004.8232	996.4068	1080.7658
"ABCF1|23"	1377.6873	798.5542	1215.9195	1676.2705	1414.0593	1119.7457	1164.0468	1142.06	1489.7474	803.9413	1112.1321	1925.4019	1385.5552	1901.8845
"ABCF2|10061"	743.5194	690.1205	698.0787	1248.8996	850.4673	790.1801	833.5349	803.5341	1241.6447	626.5816	858.2595	1962.701	738.4118	1222.2555
"ABCF3|55324"	841.1926	897.3494	1109.7896	1029.6118	1065.4206	1139.8799	1275.6953	1040.0682	893.6222	1242.8619	1121.646	862.3794	987.783	1248.8783
"ABCG1|9619"	1362.4701	1677.5904	1335.7731	1660.2641	1141.8123	1462.0276	2245.0625	1769.511	2783.4258	485.4999	1306.9179	1162.3794	1925.6198	3510.3201
"ABCG2|9429"	574.3608	391.8072	232.3879	692.6771	398.2121	209.8199	1941.1528	1062.0786	1615.684	327.3989	454.6672	697.7492	805.9648	10.4696
"ABCG4|64137"	9.2011	11.0843	8.2342	4.8019	10.1585	9.184	20.1532	6.5101	7.9182	5.8224	8.0118	7.074	8.6238	2.3931
"ABCG5|64240"	2.4772	2.4096	0.9149	4.8019	5.6887	3.8856	4.0306	3.4101	2.6394	9.4054	3.0044	3.2154	2.1559	2.3931
"ABCG8|64241"	1.0617	0	0.9149	1.2005	0	0	0.8061	0.31	0	0	0	0.9646	0	0
"ABHD10|55347"	927.5414	527.7108	1003.6597	613.0452	735.8797	802.19	836.7594	1089.9791	800.8665	771.2462	1171.7195	679.7428	930.2911	646.7245
"ABHD11|83451"	425.3738	228.9157	309.2406	326.1305	407.5579	739.3147	258.3636	299.7752	216.053	1420.6696	570.337	276.5273	320.1581	390.3679
"ABHD12B|145447"	2.1233	7.7108	4.5746	3.2013	3.657	5.2985	1.6123	3.7201	1.8853	8.9576	3.5051	4.1801	2.5153	0
"ABHD12|26090"	972.4852	1269.3976	1436.4135	1220.4882	1565.6237	1560.2261	1062.0717	1105.7894	1301.9736	1715.3734	1466.1516	823.4727	1059.6479	1328.4475
"ABHD13|84945"	458.6393	376.8675	307.4108	496.1985	313.6936	350.053	553.8089	511.819	542.2062	337.2523	306.4497	638.9068	523.5358	410.1107
"ABHD14A|25864"	123.1531	152.2892	197.1363	228.8916	194.6363	235.1219	212.7287	208.0136	128.3536	294.6904	470.5205	125.4019	249.7305	269.8205
"ABHD14B|84836"	1305.4941	1119.0361	1338.5178	1724.2897	1116.2129	1206.994	1470.7779	1641.4787	778.2431	2097.4135	2081.5547	1056.2701	1475.0269	2712.8328
"ABHD15|116236"	504.9987	402.4096	407.1363	503.4014	397.3994	412.9283	281.7412	250.7944	500.353	254.8427	328.482	361.4148	374.7754	1011.0679
"ABHD1|84696"	32.2038	53.494	41.1711	21.2085	32.5071	19.4278	29.4236	21.0804	10.1805	5.3745	74.6095	37.9421	14.7323	28.4176
"ABHD2|11057"	3731.3987	3025.0602	2737.4199	2305.7223	2724.5022	2512.1865	3060.8626	3495.6212	3820.7062	3313.8506	1349.9811	3447.91	3812.792	11340.7119
"ABHD3|171586"	193.5769	186.988	196.7063	178.4714	149.1264	186.1533	126.5619	128.9623	162.134	149.1434	157.2307	151.1254	154.5095	348.4894
"ABHD4|63874"	754.8438	1607.7108	987.1912	621.8487	698.4965	1229.2476	951.6324	1063.3186	863.0807	2004.2548	1033.5167	638.2637	856.2702	707.1493
"ABHD5|51099"	325.5773	232.2892	193.9616	301.7207	309.6302	286.118	391.7775	260.7146	424.9419	322.9202	246.8623	433.119	333.4531	608.7347
"ABHD6|57406"	1143.0594	499.759	551.6926	605.042	877.692	451.0774	760.5804	617.5308	876.2776	112.4174	791.6618	621.5434	1410.3485	1355.0703
"ABHD8|79575"	100.5043	221.2048	150.0457	280.9124	481.1052	295.6552	228.5369	191.8934	150.8223	268.7269	403.0915	130.2251	207.3302	973.3772
"ABI1|10006"	1295.5923	1349.6482	1380.6038	1125.5382	839.293	1217.1741	1184.6957	1364.9694	1129.644	1389.5868	849.5768	1130.3826	1223.2591	1236.201
"ABI2|10152"	1863.576	1586.988	1288.1976	1073.2293	1142.6249	1194.6309	1687.2229	1820.0419	1676.767	2266.7115	1204.768	1747.5884	1549.7664	3958.7197
"ABI3BP|25890"	748.8277	1631.3253	2389.753	2441.3766	4169.037	2530.2013	593.7122	3259.087	3595.6039	2920.1657	955.9028	2133.4405	2497.6644	63.7152
"ABI3|51225"	353.5345	674.2169	907.5938	777.9112	775.7009	731.8969	1066.1024	501.2788	646.2736	362.7813	732.0743	702.2508	576.3564	171.1038
"ABL1|25"	2073.4318	2257.3494	1956.0842	2499.3998	2163.7546	2847.0505	2513.9057	1711.2299	2455.7643	3144.1048	1604.8551	1900.3215	2121.0923	6715.8241
"ABL2|27"	1321.4191	1947.4699	764.8673	749.4998	766.7615	904.9806	1934.7037	1370.534	1897.3447	872.0188	661.9714	1852.7331	1420.769	767.8732
"ABLIM1|3983"	6712.5542	5396.6265	3343.0924	2690.2761	2312.8809	3829.0357	5662.233	6820.4294	5602.6718	3902.3626	2522.7021	4550.8039	4480.4168	4146.8741
"ABLIM2|84448"	92.011	204.8193	101.5554	120.8483	141.4059	110.5616	69.7299	62.9311	41.4761	87.3362	67.5992	60.1286	76.5361	14.3584
"ABLIM3|22885"	3739.1843	2308.9157	4129.9177	3210.4842	3201.5441	2481.8085	1858.5248	3007.6726	2702.7358	145.1125	2251.8045	2132.7974	3319.4395	1737.6608
"ABO|28"	663.8945	114.2169	530.6496	10.004	74.36	44.8605	142.6844	83.0815	366.8753	8.5097	232.341	57.2347	146.2451	723.9007
"ABP1|26"	10529.24	5.7831	4142.7264	15968.3874	6229.5815	11609.3253	1239.8227	6213.7487	6895.219	2045.4596	13501.8139	865.5949	11619.4754	11.6662
"ABRA|137735"	3.5389	1.9277	2.7447	1.2005	3.2507	12.0099	0	0	0	0.4479	1.0015	0.6431	1.078	0.8974
"ABR|29"	1070.1584	2014.4578	2211.3449	1563.4254	2193.011	2749.5585	1855.7033	1221.7314	1795.1626	1373.6424	1154.6945	1439.8714	1023.3561	2513.6105
"ABT1|29777"	425.0199	438.5542	489.4785	683.4734	674.9289	596.2557	615.0746	541.2695	483.3855	691.5239	860.7632	528.9389	490.4779	475.9198
"ABTB1|80325"	492.9665	693.494	638.6093	591.4366	929.7034	698.693	754.1314	657.5215	540.698	929.7951	996.963	395.4984	868.4872	593.4789
"ABTB2|25841"	45.2977	153.7349	211.3449	96.8387	118.2446	135.9943	44.337	54.561	508.6482	65.3902	60.0882	40.1929	67.9123	572.5396
"ACAA1|30"	845.4393	766.2651	1358.6459	1493.3974	1165.7863	1276.5807	1090.6892	1023.3279	741.2917	1277.3486	1430.0987	663.6656	979.8778	1209.0936
