"TCGA-A3-3320-01A-02R-1325-07"	"TCGA-A3-3323-01A-02R-1325-07"	"TCGA-A3-3326-01A-01R-0864-07"	"TCGA-A3-A6NJ-01A-12R-A33J-07"	"TCGA-A3-A8OU-01A-11R-A37O-07"	"TCGA-AS-3778-01A-01R-A32Z-07"	"TCGA-B0-5690-01A-11R-1541-07"	"TCGA-B4-5834-01A-11R-1672-07"	"TCGA-B4-5844-01A-11R-1672-07"	"TCGA-B8-A54K-01A-11R-A33J-07"	"TCGA-BP-4165-01A-02R-1289-07"	"TCGA-CW-6093-01A-11R-1672-07"	"TCGA-EU-5904-01A-11R-1672-07"	"TCGA-T7-A92I-01A-11R-A37O-07"
"SAMD1|90378"	135.8931	209.1566	121.6834	135.2541	272.6534	229.6008	220.4756	185.6932	139.5106	233.7924	241.3542	155.9486	140.8552	174.9925
"SAMD3|154075"	36.0966	80.4819	99.7255	86.0344	58.9191	31.0844	54.4135	39.6807	29.7874	12.9885	154.7271	51.4469	43.4783	12.5636
"SAMD4A|23034"	1044.3245	882.4096	936.871	955.1821	772.0439	1045.5669	618.7021	527.0092	635.339	944.5751	815.1963	505.4662	719.3676	596.1711
"SAMD4B|55095"	2274.7943	2044.3373	1829.8262	1784.3137	1757.0093	1938.5376	1771.0601	1927.9237	1943.7225	1946.4786	1510.717	2132.4759	1667.9842	1662.8777
"SAMD5|389432"	503.5831	344.0964	478.4995	261.3045	209.6709	297.0682	262.3942	325.1957	613.8468	172.881	500.2341	512.8617	888.6094	894.1071
"SAMD7|344658"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SAMD8|142891"	163.8503	135.9036	53.065	108.0432	66.6396	93.9597	137.4446	128.9623	125.9366	87.3362	60.0882	156.5916	183.2555	145.9767
"SAMD9L|219285"	1120.7644	1117.5904	1653.2479	1808.3233	716.3755	558.1067	685.2076	1191.9709	730.357	645.8403	880.2918	875.2412	989.2203	444.2118
"SAMD9|54809"	445.1915	733.012	470.2653	510.6042	285.6562	424.585	786.7795	780.2837	642.503	551.338	499.2326	781.9936	526.7697	689.5004
"SAMHD1|25939"	1046.5399	2080.4048	1878.4446	1128.3353	685.9244	713.8714	1230.6086	1214.6416	886.3035	242.217	449.5848	1297.5981	748.843	480.1914
"SAMM50|25813"	1042.909	878.0723	916.7429	1025.2101	963.8358	1045.5669	1004.0306	999.7675	862.3266	1077.5949	1051.0424	960.7717	930.2911	1092.7311
"SAMSN1|64092"	179.7753	227.4699	316.5599	434.974	160.5039	234.1929	123.7404	77.8114	95.3951	33.143	61.0896	84.8875	162.0553	61.023
"SAP130|79595"	671.3262	632.7711	602.9277	558.2233	555.4653	516.7785	632.8094	580.3302	665.1264	611.8016	543.798	649.1961	599.3532	829.7936
"SAP18|10284"	2917.1017	2306.988	3070.4483	3053.2213	2568.0618	2557.047	4237.4043	3426.8	3102.4149	3131.5642	5909.1717	2336.6559	2634.9263	3442.1179
"SAP30BP|29115"	1045.7401	1060.241	1322.0494	1126.4506	1197.4807	1135.6411	1164.8529	1159.4203	1042.5592	1319.4491	1592.8375	1350.8039	1048.1495	742.4469
"SAP30L|79685"	2263.4699	1312.7711	1377.8591	1209.6839	935.3921	1210.5263	1128.9802	1859.1025	1520.2889	1383.9436	1086.0938	1410.2894	1254.4017	1364.0443
"SAP30|8819"	209.8558	610.1205	307.4108	475.7903	594.8801	428.1173	294.2362	453.2279	366.1212	374.874	334.9916	310.2894	378.0093	174.0951
"SAPS1|22870"	1558.5243	1444.8193	1716.3769	1759.904	1874.0349	1619.2158	1981.8622	1544.757	1587.4048	1400.9629	2052.0113	1448.5531	1566.2954	1834.2806
"SAPS2|9701"	1336.6363	1207.7108	1212.2598	1397.7591	1567.2491	1187.5662	1023.3777	769.7435	1007.493	966.0732	1261.351	913.8264	877.8297	1457.0745
"SAPS3|55291"	2046.8902	1727.7108	1838.0604	1724.2897	1570.9061	1632.9919	1764.611	1910.5634	2120.9388	1768.6709	1751.0697	2128.6174	1831.4768	1918.0377
"SAR1A|56681"	2574.1838	1981.2048	1931.3815	2157.2629	1780.9833	1965.03	2008.8674	2400.062	2741.1955	2179.8231	2205.7369	2851.4469	2122.1703	2119.0547
"SAR1B|51128"	648.3235	324.8193	460.2013	648.2593	417.31	314.3765	401.451	505.6188	516.5664	185.8694	485.212	424.4373	636.0043	1089.1415
"SARDH|1757"	34.6811	396.6265	107.0448	223.2893	223.4864	283.2921	106.8118	160.2728	99.9198	186.3173	239.3512	75.8842	209.4862	174.9925
"SARM1|23098"	781.297	1090.8386	744.9588	524.954	680.5729	816.6549	611.8138	412.3475	496.0357	1470.3975	491.3511	472.3633	459.479	689.5782
"SARNP|84324"	564.3953	485.3639	608.5361	628.5714	629.6952	633.1155	680.8263	754.2029	558.1406	811.6807	865.8106	590.8039	630.327	687.6129
"SARS2|54938"	219.7647	272.2892	269.8994	248.1793	331.8976	384.9382	247.0778	225.0639	236.4743	291.5687	323.9754	182.9839	257.032	497.4484
"SARS|6301"	2923.1178	2659.759	2698.9936	2555.4222	2689.9634	2389.9682	2561.0641	3525.3817	2359.9921	3024.5213	2740.021	2846.9453	2715.7743	1450.7927
"SART1|9092"	784.5705	757.5904	1137.237	1325.7303	1370.1747	1063.2285	1372.8335	1173.6805	929.4425	964.2817	2055.0157	985.5305	1076.5361	1347.2929
"SART3|9733"	1255.242	1157.1084	1212.2598	1138.0552	1117.0256	1225.3621	1081.0157	1270.4022	1125.8886	1542.0446	872.2801	1344.373	1188.286	1122.6443
"SASH1|23328"	2607.0955	2919.0361	1776.7612	1963.9856	1655.0183	2146.9445	3016.5256	4528.2492	3226.0892	1853.3199	1357.4921	3012.5402	5105.6414	2807.9569
"SASH3|54440"	273.5557	707.4699	899.3596	886.7547	634.295	304.1328	436.5175	223.2039	213.4136	72.5563	645.4472	271.3826	244.7	262.6383
"SASS6|163786"	84.5793	108.9157	92.4062	49.6198	71.922	76.2981	79.0004	82.7714	85.9687	92.7108	65.0955	72.6688	78.6921	32.9046
"SAT1|6303"	4748.8277	5538.3133	4528.8198	5010.4042	4975.2133	3427.4108	2823.4583	3062.2336	3397.2726	12403.162	4157.6013	2072.3473	4773.6256	8657.4933
"SAT2|112483"	609.7496	865.5422	635.8646	967.587	960.5851	868.5977	813.7848	521.4291	576.8953	682.5663	1089.599	772.9904	642.8315	1482.5007
"SATB1|6304"	484.1193	611.5663	434.5837	529.4118	347.0134	556.3405	711.4067	566.6899	641.7489	861.2697	340.4997	425.7235	588.9328	474.7233
"SATB2|23314"	689.3745	267.4699	792.3147	823.9296	816.3348	538.6789	235.792	247.3843	377.8099	40.7569	400.5879	720.5788	411.0672	465.7493
"SATL1|340562"	32.9116	33.7349	24.7027	29.6118	18.2852	36.0297	32.2451	31.6206	27.9021	48.3708	44.0647	18.0064	27.668	21.8367
"SAV1|60485"	784.9244	667.9518	590.1189	700.2801	517.6757	766.5136	903.6679	1082.5389	854.4084	1224.9468	642.4428	1025.7235	962.9896	432.2465
"SBDSP1|155370"	342.21	292.0482	239.7072	384.1537	386.4283	373.7195	305.1189	386.8868	454.3522	535.6623	662.4722	450.8039	418.2537	528.8663
"SBDS|51119"	2374.9447	1426.0241	1315.645	2405.3621	1867.1272	2012.3631	1855.7033	2496.7837	2378.0908	2136.8268	2882.2297	2892.6045	2536.4714	2587.7954
"SBF1P1|100133234"	0.7078	0	0.9149	1.2005	0.4063	2.1194	1.2092	0.31	0.7541	1.7915	0	1.6077	0	0.5983
"SBF1|6305"	2409.6258	1853.494	2602.0128	2262.9052	2661.926	2487.4603	2074.1636	940.8665	1130.0362	1496.8089	1651.4235	1401.6077	1237.1542	2444.8101
"SBF2|81846"	2194.4298	1904.7325	1345.7914	1273.1172	1057.5945	1292.2783	1552.0879	1865.746	2040.8634	1612.0569	839.4769	2058	1528.1998	2152.1119
"SBK1|388228"	21.2333	24.5783	45.7457	37.615	31.6944	38.5023	47.5615	65.1011	18.4757	158.5489	85.1249	36.0129	26.9493	13.1618
"SBK2|646643"	0	0	0	1.2005	0.4063	0.7065	0	0	0	0	0	0	0.3593	0
"SBNO1|55206"	849.332	680.4819	473.0101	359.7439	240.959	362.7693	445.3849	454.468	410.2367	416.0788	156.73	795.8199	410.7079	702.064
"SBNO2|22904"	900.6458	1214.9398	1558.097	1759.904	1820.8046	1832.568	1339.3793	910.7959	851.769	1553.6894	1134.1644	754.3408	1479.6982	777.4454
"SBSN|374897"	0	0.9639	0	0.4002	0	4.2388	0	0	0	0	0.5007	0	0	0
"SC4MOL|6307"	440.591	667.4699	579.14	777.511	728.972	836.1003	527.6098	747.4231	630.4373	626.5816	985.9469	742.4437	895.7959	564.1639
"SC5DL|6309"	803.3266	701.2048	618.4812	597.439	453.0679	715.6482	583.2326	1001.3175	636.8472	761.3929	503.2385	692.6045	1040.2443	1834.8789
"SC65|10609"	406.6177	462.6506	420.86	365.3461	1045.9163	584.2458	835.1471	586.8403	519.2058	547.3071	835.2257	487.7814	465.3252	687.4065
"SCAF1|58506"	1043.9706	965.3012	1289.1125	1567.0268	1809.0207	1844.2247	1535.268	1296.7527	1031.2476	1969.7682	2004.9423	946.9453	1447.359	1852.5277
"SCAI|286205"	359.5506	324.8193	301.0064	163.2653	188.1349	202.7552	213.2205	235.2941	286.5624	378.0092	217.3189	255.9486	234.2796	246.7843
"SCAMP1|9522"	2002.3003	1273.7349	1213.1747	1104.8419	1110.5242	1183.3274	1378.0734	2003.2551	2457.2725	1464.1138	936.3741	1375.5627	1839.7413	3663.1768
"SCAMP2|10066"	2453.154	2506.0241	2649.5883	2823.5294	2960.5851	2966.443	2218.4603	2339.9209	2434.6492	1763.7443	3183.1713	2024.4373	2762.1272	5418.4864
"SCAMP3|10067"	966.823	855.4217	959.7438	1232.493	1488.4193	1198.1632	1136.6385	1143.61	1105.5275	1254.5068	1104.621	900	1197.6285	1795.9916
"SCAMP4|113178"	817.1282	880.4819	1036.5965	1134.0536	1506.2983	1312.9636	939.9436	720.1426	809.9158	1593.1027	1533.25	736.6559	994.6101	2558.4804
"SCAMP5|192683"	270.3707	539.759	373.2845	214.0856	442.0967	671.8474	1052.3982	676.7418	641.7489	352.4801	587.362	633.4405	659.7197	1653.6045
"SCAND1|51282"	264.7085	345.0602	303.7511	1112.8451	1445.7538	1062.5221	641.2737	521.1191	312.9563	700.0336	1726.033	291.9614	679.8419	1067.6039
"SCAND2|54581"	597.7174	609.1566	589.204	436.9748	511.5807	571.1763	369.609	420.0574	314.0875	549.5465	447.1562	316.7203	431.5487	296.1412
"SCAND3|114821"	47.7749	119.0361	93.3211	2.401	41.0402	232.4267	62.4748	176.7031	58.0666	295.5996	31.0456	28.2958	146.2451	53.5447
"SCAPER|49855"	630.9829	641.4458	426.3495	497.7991	331.9789	487.8135	369.206	624.0409	447.1882	852.3122	155.7285	552.09	601.5092	476.8172
"SCAP|22937"	741.7854	958.4145	948.9113	954.8059	1264.3925	948.2762	1147.2148	915.2972	894.5045	1526.1673	917.5215	853.4566	1010.9271	2358.3757
"SCARA3|51435"	336.5478	405.3012	596.5233	98.8395	1327.5091	143.4122	228.1338	340.386	592.3546	3385.959	350.5144	697.4277	234.9982	23.3323
"SCARA5|286133"	1.7694	1.4458	0.9149	1.2005	1.6254	0.7065	0	0.31	0	0	0.5007	0.3215	0.7186	0
"SCARB1|949"	11926.0373	4937.8313	6641.3541	4757.503	3209.6709	6441.5401	6505.4414	7070.9137	12980.8993	1140.2978	7183.0411	5160.7717	8420.4096	424.469
"SCARB2|950"	7753.6937	7474.2169	5252.516	5527.411	6619.6668	7313.6701	5855.3003	7769.046	10083.2256	7173.2169	5653.2962	7017.3633	6400.6468	8195.9318
"SCARF1|8578"	640.5379	786.0241	840.8051	1161.2645	1153.5961	871.0703	2407.0939	1310.7029	1242.0217	838.8758	1017.9939	1348.8746	1342.0769	192.3422
"SCARF2|91179"	75.7321	134.4578	66.7887	166.8667	207.6392	467.6793	264.4095	196.2334	178.3474	269.6227	176.7594	91.6399	172.4757	91.5345
"SCARNA10|692148"	0.3539	0.9639	2.7447	1.2005	0	0	1.6123	1.86	1.5082	0.8958	8.5125	0.9646	1.7966	0
"SCARNA11|677780"	0	0	0	0	0	0	0.4031	0	0	0	0	0	0	0
"SCARNA12|677777"	4.6005	2.8916	0.9149	2.0008	8.5331	2.1194	1.2092	0.31	0.3771	3.583	10.5154	0	1.7966	2.6922
"SCARNA14|692149"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SCARNA15|677778"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SCARNA16|677781"	1.0617	2.4096	5.4895	1.2005	1.6254	3.5323	0.4031	0.31	0	1.3436	2.5037	0.3215	0.3593	0.2991
"SCARNA17|677769"	13.4478	10.1205	26.5325	10.004	10.9711	11.6567	18.1378	4.0301	8.2952	18.8109	49.5727	5.4662	6.4678	9.5722
"SCARNA18|677765"	0	0	0	0	0	0	0	0	0	0	0.5007	0	0	0
"SCARNA1|677774"	0	0	0	0.4002	0	0	0	0	0	0	0	0	0	0
"SCARNA20|677681"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SCARNA21|677763"	0	0	0	0	0	0.3532	0	0	0	0	0	0	0	0
"SCARNA22|677770"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SCARNA23|677773"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SCARNA27|100124533"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SCARNA2|677766"	2.1233	1.4458	2.7447	4.0016	6.5014	3.1791	5.2398	2.48	1.1312	5.8224	7.511	1.6077	2.8746	1.4957
"SCARNA3|677679"	0	0	0	0	0	0	0	0	0	0	0	0.3215	0	0
"SCARNA4|677771"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SCARNA5|677775"	0	0	0.9149	0	1.219	0	0	0.62	1.1312	0	1.5022	0	0	0.2991
"SCARNA6|677772"	0.3539	1.4458	1.8298	0.8003	0.8127	2.4726	0	0	1.1312	1.3436	0.5007	0	0	0
"SCARNA7|677767"	1.4156	4.3373	3.6597	2.0008	4.0634	2.4726	3.6276	0.62	3.3935	1.3436	16.5242	1.9293	0.7186	4.7861
"SCARNA8|677776"	0	0	0	0	0	0	0	0	0	0	0.5007	0	0	0
"SCARNA9L|100158262"	0.7078	0	0.9149	0	0.4063	0.3532	0	0	0	0	1.0015	0	1.078	0.2991
"SCARNA9|619383"	9.2011	8.6747	19.2132	3.6014	2.0317	3.1791	7.6582	5.2701	2.2623	10.3012	16.5242	6.1093	3.9526	6.2818
"SCCPDH|51097"	849.6859	1235.6627	1056.7246	981.1925	843.5595	1241.964	683.9984	940.2465	847.2443	1744.9334	906.8308	839.8714	1136.9026	1594.9746
"SCD5|79966"	1503.6716	394.2169	312.9003	54.0216	66.6396	3373.3663	561.4672	891.5756	235.2828	9272.8698	997.4638	127.0096	719.3676	206.9997
"SCD|6319"	13368.8401	11396.6265	12946.935	5704.6819	6966.6802	5635.1113	6067.3116	8225.994	20902.0871	70.7648	3537.1908	10608.3601	6393.8196	1051.4508
"SCEL|8796"	0.3539	0.9639	1.8298	0	0	0.3532	0.4031	0.31	0.3771	17.9151	0	0.9646	0	0.2991
"SCFD1|23256"	1118.2872	866.506	895.6999	916.3665	655.4246	809.9611	777.9121	1024.2579	907.5733	914.1194	910.3359	867.2026	948.9759	966.198
"SCFD2|152579"	258.6924	308.9157	313.8152	448.1793	345.7944	309.7845	356.711	326.1257	259.4144	293.3602	293.9313	363.9871	347.8261	313.4909
"SCG2|7857"	111.1209	16.8675	17.3833	7.603	574.5632	42.0346	9.6735	49.2909	16.2134	41.2048	42.0617	22.508	37.0104	5.6835
"SCG3|29106"	1.0617	3.8554	6.4044	2.0008	3.2507	0.3532	2.8214	3.1001	0.3771	0.4479	1.5022	0.9646	1.078	2.6922
"SCG5|6447"	3.8928	5.3012	9.1491	2.0008	20.3169	158.6012	10.0766	60.4511	33.558	14.78	10.0147	11.254	2.8746	0.2991
"SCGB1A1|7356"	0	0	0	0.4002	0	0.3532	0	0	0	0	0	0	0	0.2991
"SCGB1C1|147199"	0	0	0	0.4002	0	0	0	0.31	0	0	0	0	0	0
"SCGB1D1|10648"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SCGB1D2|10647"	19.4639	4.8193	56.7246	13.6054	4.8761	6.0049	17.7348	31.3105	16.9675	19.2588	61.0896	21.865	29.1053	0
"SCGB1D4|404552"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SCGB2A1|4246"	1.0617	0	0	0.4002	1.219	1.0597	0.8061	0.62	0.7541	4.0309	1.0015	0.9646	0.3593	0
"SCGB2A2|4250"	0	0	0	0.8003	0	0.3532	0	0	0	0	4.5066	0	0	0
"SCGB3A1|92304"	2.1233	8.6747	1.8298	17.2069	20.3169	33.9103	17.3317	12.0902	6.787	17.9151	22.0323	13.1833	14.373	0.2991
"SCGB3A2|117156"	0	0.9639	0	0	5.2824	0	0	0	0	0	0	0	0	0
"SCGBL|284402"	0	0.4819	0	0	0.4063	0.7065	0	0	0	0.4479	0	0.9646	0	0
"SCGN|10590"	4182.6064	67.4699	2813.3577	160.4642	964.6485	243.0237	1812.5756	631.4811	1645.4714	64.4945	3260.7852	3049.8392	1223.8591	3.2905
"SCHIP1|29970"	404.4944	291.5663	256.1757	299.3197	420.5607	492.4055	1045.1431	738.4329	797.0959	554.0253	610.3958	478.4566	478.6202	124.14
"SCIN|85477"	284.2679	358.5542	22.8728	336.5346	197.0744	1120.053	346.4692	178.5631	178.7546	4258.8915	35.0514	123.7942	50.6648	11334.6904
"SCLT1|132320"	145.4481	206.2651	165.5993	164.8659	154.4088	117.9795	249.4962	178.8731	220.9547	172.4331	139.2043	194.5338	141.9332	91.2354
"SCLY|51540"	365.2128	153.253	309.2406	411.3645	335.8797	301.6602	316.4047	305.3553	321.2515	73.8999	438.6437	225.7235	239.4466	426.6736
"SCMH1|22955"	1443.1567	1549.3976	1269.8994	1549.8199	1763.5108	1445.4256	1050.3829	844.7648	1243.907	1367.3721	1831.1873	1294.2122	1029.1053	504.3374
"SCML1|6322"	300.0973	180.7229	232.3879	269.7079	300.2844	258.2126	195.0826	116.252	144.0353	414.2873	193.2836	257.2347	187.5674	192.3422
"SCML2|10389"	10.6167	8.6747	11.8939	16.8067	7.3141	4.2388	27.0052	20.7704	24.1316	0.8958	13.0191	22.508	15.0916	87.6458
"SCML4|256380"	46.0055	80.9639	104.3001	47.619	33.3198	28.2586	23.7807	22.9404	11.6887	5.3745	32.047	16.7203	31.6206	18.2471
"SCN10A|6336"	0.3539	0	0.9149	0.4002	0	0.7065	0	0	0	0	0	0	0	0
"SCN11A|11280"	7.7855	10.6024	6.4044	3.2013	3.2507	2.8259	15.3164	11.4702	14.7052	19.7066	5.5081	4.8232	6.4678	7.4783
"SCN1A|6323"	0.3539	4.8193	4.5746	0.4002	0.8127	2.1194	0.8061	0.93	1.8853	0	2.5037	0.6431	1.4373	0.5983
"SCN1B|6324"	385.3844	328.6747	152.7905	437.3749	426.2495	393.1473	338.1701	432.7676	532.7798	182.2864	540.2929	306.1093	392.023	2536.9429
"SCN2A|6326"	2.1233	4.8193	1.8298	1.2005	2.8444	6.0049	8.4643	3.1001	3.7706	61.8072	2.0029	7.3955	2.8746	87.6458
"SCN2B|6327"	4.6005	3.8554	4.5746	0.4002	6.0951	1.7662	0.4031	8.9902	0	46.1315	6.0088	1.9293	5.0305	728.0885
"SCN3A|6328"	16.6328	34.2169	0.9149	2.8011	3.2507	2.1194	4.8368	2.17	0.3771	9.8533	4.0059	43.7299	4.3119	14.6575
"SCN3B|55800"	46.0055	145.0602	14.6386	16.4066	36.5705	38.1491	45.5462	59.211	17.7216	75.6914	2.5037	13.5048	53.5393	121.1487
"SCN4A|6329"	328.4084	149.3976	109.7896	180.072	381.5522	78.0643	298.6699	185.0732	138.7565	118.2398	420.1165	484.5659	93.065	10.7688
"SCN4B|6330"	1214.1909	1523.8554	1588.2891	374.1497	1107.6798	670.4345	1652.1564	1819.4218	1429.0414	373.0825	1117.6401	951.4469	1395.9756	414.8968
"SCN5A|6331"	3.185	0.9639	5.4895	4.8019	7.7204	2.8259	8.4643	0.93	2.6394	20.6024	13.0191	1.9293	4.6712	1.7948
"SCN7A|6332"	1.4156	0.9639	0	0	0	1.4129	0	0	0	102.1162	0	3.8585	1.7966	0.5983
"SCN8A|6334"	13.8016	106.0241	18.2983	9.6038	14.2219	39.2088	29.4236	41.8507	6.0329	36.726	4.0059	5.1447	25.512	7.1792
"SCN9A|6335"	1473.5875	309.2819	164.4922	268.1072	62.9825	224.7439	154.7763	427.4696	67.87	161.2361	294.4271	157.5563	736.6044	5.6835
"SCNM1|79005"	276.7407	367.7108	435.4986	351.3405	448.1918	340.1625	388.1499	362.7063	251.4962	378.9049	745.0934	236.6559	274.1646	275.2019
"SCNN1A|6337"	136.247	423.6145	90.5764	110.8443	290.126	421.7591	27.4083	115.322	21.8692	5729.7055	102.1499	108.6817	71.1462	38.5881
"SCNN1B|6338"	23.3566	6.2651	8.2342	7.2029	4.4697	1.7662	29.4236	94.8617	43.7385	1.7915	26.5389	1.6077	33.7765	3.5896
"SCNN1D|6339"	73.6088	107.9518	166.5142	77.2309	248.2731	103.8502	48.3676	13.0202	14.3281	48.3708	138.2028	25.4019	38.4477	25.1271
"SCNN1G|6340"	2.1233	3.8554	0	1.6006	1.219	1.4129	3.2245	29.4505	6.4099	1.7915	3.0044	0.3215	5.3899	3.5896
"SCO1|6341"	309.2984	306.988	266.2397	425.7703	344.5754	366.6549	286.1749	321.7856	348.7766	389.2061	270.8975	378.4566	306.5038	697.8762
"SCO2|9997"	354.5961	226.988	458.3715	705.4822	583.5026	382.5503	355.9049	236.5341	277.8901	227.97	741.5883	285.8521	310.097	331.1397
"SCOC|60592"	1190.4804	758.0723	876.4867	1112.445	1054.4494	995.0548	916.969	1322.4831	1215.2508	1837.1963	669.4825	1030.5466	1181.4589	1721.2085
"SCP2|6342"	3785.1898	2928.1928	2793.2296	3659.0636	3406.7452	3149.0639	3297.4607	3727.5052	3989.6272	2436.9052	3380.4608	3144.6945	3492.2745	2749.6261
"SCPEP1|59342"	1005.0429	950.3614	1182.0677	1701.0804	931.3287	633.6983	913.3414	757.0332	982.9844	536.5581	922.3536	889.0675	1134.028	4267.4245
"SCRG1|11341"	0.7078	2.4096	0.9149	0	1.6254	5.2985	0.4031	1.24	0	1.3436	1.0015	0.3215	0	0.2991
"SCRIB|23513"	657.1707	667.9518	666.9716	1035.2141	1565.6237	1108.7955	931.4792	664.6516	597.6334	1731.0492	929.3638	744.373	832.1955	1134.9088
"SCRN1|9805"	1364.9474	3119.5181	447.3925	305.7223	1062.9825	2071.7061	2538.8956	1408.3546	1389.8276	4455.4921	767.6265	1824.7588	1140.8552	997.3078
"SCRN2|90507"	786.3399	636.6265	745.6542	1405.7623	760.2601	1134.9347	1201.1286	635.8211	808.0305	842.4589	1371.5127	415.4341	807.0428	941.9683
"SCRN3|79634"	293.3734	398.0723	307.4108	280.5122	273.8724	263.5111	272.4708	273.7348	312.9563	263.3524	245.8608	320.9003	280.2731	479.8086
"SCRT1|83482"	0.7078	0.4819	0.9149	0	3.2507	0	0	0.93	0.3771	3.1351	0	0	0	2.3931
"SCRT2|85508"	0	0.4819	0	0	0	0	0.4031	0	0	0	0	0	0	0
"SCTR|6344"	32.9116	13.494	29.2772	13.6054	13.8155	39.2088	47.5615	17.0503	9.0493	38.5175	36.0529	8.3601	16.8883	42.1777
"SCT|6343"	0	0	0	0.4002	0.8127	0.7065	0	0.62	0	1.7915	1.0015	0	0	0
"SCUBE1|80274"	33.6194	13.012	77.7676	38.4154	95.896	118.686	3.6276	47.7408	13.574	24.6333	14.5213	53.3762	66.1157	23.6315
"SCUBE2|57758"	31.1422	4.8193	7.3193	30.4122	31.6944	13.7761	316.8077	78.7414	171.5604	13.4363	97.6433	41.1576	113.9059	7.1792
"SCUBE3|222663"	17.6944	47.2289	14.6386	22.0088	15.8472	123.278	36.6788	70.0612	33.1809	23.2897	29.5434	31.8328	52.102	18.8453
"SCXB|642658"	0	0.4819	0.9149	4.0016	2.438	3.8856	0.8061	0	0.3771	3.1351	2.5037	1.9293	0.3593	0
"SCYL1|57410"	1407.0388	1536.8675	1622.699	1756.1865	1999.4596	1930.5828	1632.8053	1583.5759	1539.2812	1577.521	2190.0389	1316.6817	1709.1664	1939.2821
"SCYL2|55681"	674.8651	631.8072	468.4355	583.8335	369.7684	512.5397	661.8299	573.82	771.8332	463.106	297.4365	1117.0418	567.014	1065.8092
"SCYL3|57147"	263.9972	219.8265	218.9204	186.3425	176.9606	252.1547	244.5466	292.3909	245.222	327.3228	240.1875	208.8875	273.1621	277.3258
"SDAD1|55153"	711.3156	743.6145	584.6295	646.2585	529.4596	516.7785	681.58	788.3438	798.9812	606.8749	680.9994	857.5563	565.936	1307.5082
"SDC1|6382"	2130.7617	2120.9639	1339.4328	1905.5622	2410.8086	7565.8778	528.416	1771.061	1249.1858	18252.8272	2123.6164	1809.9678	2341.3582	1044.2716
"SDC2|6383"	3600.1062	2852.0482	2908.5087	4040.016	4815.5221	4894.3836	3671.5034	4180.4232	4433.4218	3449.5577	2895.2488	3177.1704	3659.3604	2166.0185
"SDC3|9672"	1729.4524	3024.5783	2168.344	2824.7299	1940.2682	1669.0215	4518.3394	2923.9712	2535.7001	2166.8346	1959.8761	2037.299	2492.9932	742.4469
"SDC4P|376844"	0	0	0	0	0.4063	0	0	0	0	0	0	0	0	0
"SDC4|6385"	4474.9182	3692.0482	3972.5526	8448.5794	8483.5433	6192.5115	2891.1729	3517.6316	5570.6221	11238.6071	4962.2821	8098.7138	5379.0873	4067.3048
"SDCBP2|27111"	57.1459	88.0482	94.9039	73.0052	94.6973	105.7612	146.0097	90.1713	69.974	162.3111	96.6018	54.0064	81.7355	28.609
"SDCBP|6386"	3710.8732	4067.9518	3451.9671	3980.3922	2954.0837	3589.1911	3637.6461	3829.187	4437.1924	2640.6897	2415.0441	3645.3376	4262.3069	24024.828
"SDCCAG1|9147"	828.4526	707.4699	645.0137	675.07	507.5173	507.5945	779.1213	688.212	791.4401	855.4473	551.8098	849.1961	735.8965	878.5522
"SDCCAG3|10807"	488.7198	482.8916	520.5855	589.0356	601.3816	460.2614	453.0431	346.2761	407.5973	373.9783	495.2267	604.8232	357.8872	798.0856
"SDCCAG8|10806"	474.2104	501.2048	442.8179	476.9908	494.5144	412.5751	504.2322	484.8485	497.3366	515.9557	522.7672	421.865	469.2778	534.2507
"SDF2L1|23753"	94.1343	85.7831	129.9177	591.8367	396.9931	246.556	214.4297	128.0322	152.7076	126.7495	506.7436	142.4437	190.0826	285.0733
"SDF2|6388"	451.2076	510.3614	551.6926	555.4222	717.5945	651.0067	773.0754	638.3012	590.8464	747.9566	800.675	575.8842	577.4344	930.003
"SDF4|51150"	2678.5809	3158.0723	2824.3367	3725.8904	5609.9147	4589.8976	4080.2096	3249.4769	3281.8935	4031.3515	4791.5316	2524.4373	3491.5559	2047.8612
"SDHAF1|644096"	132.7081	112.2892	155.5352	248.8996	225.5181	204.8746	180.5723	252.9644	176.085	238.7191	292.4291	139.5498	187.5674	207.8971
"SDHAF2|54949"	368.7517	349.3976	278.1336	637.0548	578.6266	511.48	529.6252	475.5483	528.2551	370.8431	573.3414	566.5595	408.1926	484.2955
"SDHAP1|255812"	334.0706	415.9036	195.7914	214.886	106.8671	208.4069	264.4095	136.0924	135.363	225.7306	339.9989	132.1543	145.1671	213.5806
"SDHAP2|727956"	425.3738	349.8795	149.1308	151.2605	169.4433	279.0533	1134.6231	111.2919	107.4609	487.2915	264.388	91.3183	125.0449	160.335
